wording,openness,response
allow,-0.6546376117485032,No
allow,-3.271829568575531,No
allow,-1.3679627071640474,No
allow,0.7101594156398051,Yes
allow,-0.047779294366315006,Yes
allow,-0.43631862080634,No
allow,-1.280098653047301,Yes
allow,-0.1897346295876387,Yes
allow,-0.86185467432196,No
allow,-0.7742689944896107,Yes
allow,5.55569648243468,Yes
allow,0.0085723579757684,No
allow,-0.12071096122152557,Yes
allow,0.22119775135706743,Yes
allow,0.33118611377095736,No
allow,-0.8303351814266987,Yes
allow,-0.13451137112272557,Yes
allow,-0.779367284186209,Yes
allow,-0.01391165804281319,Yes
allow,-0.7422060477363086,No
allow,-1.6947453509863517,Yes
allow,-1.142164177486022,No
allow,0.9612677543043338,Yes
allow,-0.5746443597659169,No
allow,-2.2676633713256877,Yes
allow,0.3214760438969702,Yes
allow,0.09611870987864218,Yes
allow,-2.2019921496158767,Yes
allow,0.376730911871383,Yes
allow,-1.426710525450364,Yes
allow,0.3283932869206826,No
allow,0.14030543252021502,Yes
allow,0.09590825005160973,Yes
allow,0.2314054756152974,Yes
allow,0.5990664751930052,Yes
allow,-0.0651518401557171,Yes
allow,-0.9971318919358906,No
allow,-0.7487593984502441,Yes
allow,0.745580694422884,Yes
allow,1.0910560137298573,Yes
allow,-0.8629299557991854,Yes
allow,-0.5140189751593529,Yes
allow,-0.2683515991930686,No
allow,-0.8500401299934317,No
allow,-0.7978421406764802,Yes
allow,-0.6304017971960861,No
allow,-0.8846813847043986,Yes
allow,1.517818257160413,Yes
allow,2.747992114705887,Yes
allow,0.7551073928447559,Yes
allow,0.5304414922573555,Yes
allow,-0.203669976665546,Yes
allow,-0.4214409707599224,Yes
allow,-0.03382025636903187,Yes
allow,3.5583267909442062,Yes
allow,0.23022539137448123,Yes
allow,-1.915951468891629,Yes
allow,0.45075326913159963,No
allow,-1.0273912616363747,Yes
allow,-2.721059337000061,No
allow,-0.594817187536107,Yes
allow,0.48099658660879707,Yes
allow,-0.025986637545446577,No
allow,0.9028718688499953,Yes
allow,0.15429003074218178,No
allow,0.32368535871295995,Yes
allow,2.5446378614313043,Yes
allow,-1.346157419392318,Yes
allow,0.3826738891695364,Yes
allow,-0.8536213440867052,Yes
allow,1.2159910020638813,No
allow,-0.9517173893229258,Yes
allow,-0.43707689195303057,No
allow,-1.1846544696166363,No
allow,-1.7390716268571065,Yes
allow,-0.2796851364591625,Yes
allow,-0.03312200411425012,No
allow,0.2786900046678155,Yes
allow,0.5667069294338253,No
allow,1.0417048355405585,Yes
allow,-1.0589311029914064,Yes
allow,-0.4964113856011088,Yes
allow,1.006553714591209,Yes
allow,-0.17670927239485976,Yes
allow,-0.20605938815380548,Yes
allow,-0.16608616653391461,Yes
allow,0.4913198551864819,Yes
allow,-0.5925807011514405,No
allow,3.400247205885366,Yes
allow,1.579459654899685,No
allow,3.3220221327911976,Yes
allow,-0.5469881474039833,Yes
allow,-1.1467806260993714,No
